
#trans = ?
#sent_id = 1
#text: کتێبخانەی ماڵەوە ، یارمەتی منداڵ دەدات کە بە زانست و زانیاری هەمەچەشنەی بەسوود زاخاوی بیر و هۆشی بدات و خۆی بە زانستی و زانیاری هەمەچەشنە رۆشنبیر بکات و زمانی پاراوتر دەبێت و ، سامانی وشە و رستەکانی زیاتر دەبن 
1	کتێبخانەی	کتێبخانە	N	N	N|SG|ABS|EZALOS	1	 _ 	 _ 	 _
---432	ماڵەوە	ماڵ	N	N	N|SG|ABS	2	 _ 	 _ 	 _
---313	،	،	CM	CM	CM	3	 _ 	 _ 	 _
---254	یارمەتی	یارمەتی	N	N	N|SG|ABS	4	 _ 	 _ 	 _
---355	منداڵ	منداڵ	N	N	N|SG|ABS	5	 _ 	 _ 	 _
---336	دەدات	دان	VBLEX	VBLEX	VBLEX|TV|PRI|P3|SG	6	 _ 	 _ 	 _
---497	کە	کە	CNJSUB	CNJSUB	CNJSUB	7	 _ 	 _ 	 _
---388	بە	بە	PR	PR	PR	8	 _ 	 _ 	 _
---269	زانست	زانست	N	N	N|SG|ABS	9	 _ 	 _ 	 _
---3310	و	و	CNJCOO	CNJCOO	CNJCOO	10	 _ 	 _ 	 _
---3811	زانیاری	زانیاری	N	N	N|SG|ABS	11	 _ 	 _ 	 _
---3612	هەمەچەشنەی	هەمەچەشنە	ADJ	ADJ	ADJ|PST	12	 _ 	 _ 	 _
---4113	بەسوود	بەسوود	ADJ	ADJ	ADJ|PST	13	 _ 	 _ 	 _
---3814	زاخاوی	زاخاو	N	N	N|SG|ABS	14	 _ 	 _ 	 _
---3415	بیر	بیر	N	N	N|SG|ABS	15	 _ 	 _ 	 _
---3216	و	و	CNJCOO	CNJCOO	CNJCOO	16	 _ 	 _ 	 _
---3817	هۆشی	هۆش	N	N	N|SG|ABS|PX3SG	17	 _ 	 _ 	 _
---3818	بدات	دان	VBLEX	VBLEX	VBLEX|TV|PRS|P3|SG	18	 _ 	 _ 	 _
---5019	و	و	CNJCOO	CNJCOO	CNJCOO	19	 _ 	 _ 	 _
---3820	خۆی	خۆ	N	N	N|SG|ABS|PX3SG	20	 _ 	 _ 	 _
---3721	بە	بە	PR	PR	PR	21	 _ 	 _ 	 _
---2722	زانستی	زانست	N	N	N|SG|ABS|EZALOS	22	 _ 	 _ 	 _
---4123	و	و	CNJCOO	CNJCOO	CNJCOO	23	 _ 	 _ 	 _
---3824	زانیاری	زانیاری	N	N	N|SG|ABS	24	 _ 	 _ 	 _
---3625	هەمەچەشنە	هەمەچەشن	ADJ	ADJ	ADJ	25	 _ 	 _ 	 _
---3626	رۆشنبیر	رۆشنبیر	N	N	N|SG|ABS	26	 _ 	 _ 	 _
---3627	بکات	کردن	VBLEX	VBLEX	VBLEX|TV|PRS|P3|SG	27	 _ 	 _ 	 _
---5128	و	و	CNJCOO	CNJCOO	CNJCOO	28	 _ 	 _ 	 _
---3829	زمانی	زمان	N	N	N|SG|ABS|EZALOS	29	 _ 	 _ 	 _
---4030	پاراوتر	پاراو	ADJ	ADJ	ADJ|COMP	30	 _ 	 _ 	 _
---3831	دەبێت	دەبێت	N	N	N|SG|ABS	31	 _ 	 _ 	 _
---3432	و	و	CNJCOO	CNJCOO	CNJCOO	32	 _ 	 _ 	 _
---3833	،	،	CM	CM	CM	33	 _ 	 _ 	 _
---2634	سامانی	سامان	N	N	N|SG|ABS|EZALOS	34	 _ 	 _ 	 _
---4135	وشە	وشە	N	N	N|SG|ABS	35	 _ 	 _ 	 _
---3236	و	و	CNJCOO	CNJCOO	CNJCOO	36	 _ 	 _ 	 _
---3837	رستەکانی	رستە	N	N	N|PL|DEF|PX3SG	37	 _ 	 _ 	 _
---3938	زیاتر	زیاتر	ADJ	ADJ	ADJ|COMP	38	 _ 	 _ 	 _
---3839	دەبن	بوون	VBCOP	VBCOP	VBCOP|PRI|P3|PL	39	 _ 	 _ 	 _
---4840	
#trans = ? 
#sent_id = 2
#text: دەتوانێت بێدامان و رامان ، بە ئاسانی بە قسە و بە نووسین گوزارشت لە هۆش و لە ناخی خۆی بکات 
1	دەتوانێت	توانین	VBMOD	VBMOD	VBMOD|PRI|P3|SG	1	 _ 	 _ 	 _
---492-3	بێدامان
2	بێ	PR	PR	PR	2	 _ 	 _ 	 _ 
3	دامان	NP	NP	NP	3	 _ 	 _ 	 _ 
4	و	و	CNJCOO	CNJCOO	CNJCOO	4	 _ 	 _ 	 _
---375	رامان	رامان	NP	NP	NP	5	 _ 	 _ 	 _
---296	،	،	CM	CM	CM	6	 _ 	 _ 	 _
---257	بە	بە	PR	PR	PR	7	 _ 	 _ 	 _
---268	ئاسانی	ئاسان	ADJ	ADJ	ADJ|PST	8	 _ 	 _ 	 _
---369	بە	بە	PR	PR	PR	9	 _ 	 _ 	 _
---2610	قسە	قسە	N	N	N|SG|ABS	10	 _ 	 _ 	 _
---3211	و	و	CNJCOO	CNJCOO	CNJCOO	11	 _ 	 _ 	 _
---3812	بە	بە	PR	PR	PR	12	 _ 	 _ 	 _
---2713	نووسین	نووسین	N	N	N|SG|ABS	13	 _ 	 _ 	 _
---3514	گوزارشت	گوزارشت	N	N	N|SG|ABS	14	 _ 	 _ 	 _
---3615	لە	لە	PR	PR	PR	15	 _ 	 _ 	 _
---2716	هۆش	هۆش	S	S	S|SG|ABS	16	 _ 	 _ 	 _
---3217	و	و	CNJCOO	CNJCOO	CNJCOO	17	 _ 	 _ 	 _
---3818	لە	لە	PR	PR	PR	18	 _ 	 _ 	 _
---2719	ناخی	ناخ	N	N	N|SG|ABS|EZALOS	19	 _ 	 _ 	 _
---3920	خۆی	خۆ	N	N	N|SG|ABS|PX3SG	20	 _ 	 _ 	 _
---3721	بکات	کردن	VBLEX	VBLEX	VBLEX|TV|PRS|P3|SG	21	 _ 	 _ 	 _
---5122	
#trans = ?
#sent_id = 3
#text: منداڵ بە هۆی خوێندنەوەی ئەو کتتێبانەی کە لە بەردەستیدان وڵامی بەشێک لەو پرسیارانەی کە لە هزر و خەیاڵیدان بدات 
1	منداڵ	منداڵ	N	N	N|SG|ABS	1	 _ 	 _ 	 _
---332	بە	بە	PR	PR	PR	2	 _ 	 _ 	 _
---263	هۆی	هۆ	N	N	N|SG|ABS|EZALOS	3	 _ 	 _ 	 _
---374	خوێندنەوەی	خوێندن	N	N	N|SG|ABS|EZALOS	4	 _ 	 _ 	 _
---415	ئەو	ئەو	DET	DET	DET|DEM|SG	5	 _ 	 _ 	 _
---376	کتتێبانەی	کتتێبانە	N	N	N|PL|ABS|PX3PL	6	 _ 	 _ 	 _
---427	کە	کە	CNJSUB	CNJSUB	CNJSUB	7	 _ 	 _ 	 _
---388	لە	لە	PR	PR	PR	8	 _ 	 _ 	 _
---269	بەردەستیدان	بەردەست	N	N	N|SG|ABS|CLT	9	 _ 	 _ 	 _
---3910	وڵامی	وڵام	N	N	N|SG|ABS|EZALOS	10	 _ 	 _ 	 _
---4011	بەشێک	بەش	N	N	N|SG|IND	11	 _ 	 _ 	 _
---3212-13	لەو
12	لە	PR	PR	PR	12	 _ 	 _ 	 _ 
13	ئەو	PRN	PRN	PRN|PERS|P3|SG	13	 _ 	 _ 	 _ 
14	پرسیارانەی	پرسیار	N	N	N|PL|PX3SG	14	 _ 	 _ 	 _
---3715	کە	کە	CNJSUB	CNJSUB	CNJSUB	15	 _ 	 _ 	 _
---3916	لە	لە	PR	PR	PR	16	 _ 	 _ 	 _
