
#trans = ?
#sent_id = 1
#text: سەعدی پیرە لەگەڵ كونسوڵی ئیتاڵیا كۆبوەوە بۆ چارەسەری كێشە سیاسیەكانی هەرێم پێویستە لایەنەكان دووربكەونەوە لە بەكارهێنانی كارتی سیاسی بەرامبەر یەكتر لە هەوڵەكانیان بەردەوام دەبین بۆ ئەوەی بگەنە رێكەوتنێكی سیاسی بۆ چارەسەر گرفتەكان 
1	سەعدی	سەعدی	NP	NP	NP	1	 _ 	 _ 	 _
---292	پیرە	پیرە	NP	NP	NP	2	 _ 	 _ 	 _
---283	لەگەڵ	لەگەڵ	PR	PR	PR	3	 _ 	 _ 	 _
---294	كونسوڵی	كونسوڵی	N	N	N|SG|ABS|EZALOS	4	 _ 	 _ 	 _
---425	ئیتاڵیا	ئیتاڵیا	NP	NP	NP|TOP|SG|ABS	5	 _ 	 _ 	 _
---426	كۆبوەوە	كۆبوەوە	VBLEX	VBLEX	VBLEX|PAST|P3|SG	6	 _ 	 _ 	 _
---517	بۆ	بۆ	PR	PR	PR	7	 _ 	 _ 	 _
---268	چارەسەری	چارەسەر	N	N	N|SG|ABS|EZALOS	8	 _ 	 _ 	 _
---429	كێشە	کێش	N	N	N|SG|ABS	9	 _ 	 _ 	 _
---3110	سیاسیەكانی	سیاسی	N	N	N|PL|DEF|EZALOS	10	 _ 	 _ 	 _
---4111	هەرێم	هەرێم	N	N	N|SG|ABS	11	 _ 	 _ 	 _
---3412	پێویستە	پێویست	N	N	N|SG|ABS	12	 _ 	 _ 	 _
---3513	لایەنەكان	لایەن	N	N	N|PL|DEF	13	 _ 	 _ 	 _
---3414	دووربكەونەوە	دووربكەونەوە	VBLEX	VBLEX	VBLEX|TV|P3|PL	14	 _ 	 _ 	 _
---5515	لە	لە	PR	PR	PR	15	 _ 	 _ 	 _
---2716	بەكارهێنانی	بەكارهێنانی	N	N	N|SG|ABS|EZALOS	16	 _ 	 _ 	 _
---4717	كارتی	کارت	N	N	N|SG|ABS|EZALOS	17	 _ 	 _ 	 _
---4018	سیاسی	سیاسی	ADJ	ADJ	ADJ|PST	18	 _ 	 _ 	 _
---3719	بەرامبەر	بەرامبەر	PR	PR	PR	19	 _ 	 _ 	 _
---3320	یەكتر	یەكتر	N	N	N|SG|ABS	20	 _ 	 _ 	 _
---3421	لە	لە	PR	PR	PR	21	 _ 	 _ 	 _
---2722	هەوڵەكانیان	هەوڵەكانیان	N	N	N|PL|PX3PL	22	 _ 	 _ 	 _
---4223	بەردەوام	بەردەوام	N	N	N|SG|ABS	23	 _ 	 _ 	 _
---3724	دەبین	دەبین	VBCOP	VBCOP	VBCOP|P1|PL	24	 _ 	 _ 	 _
---4525	بۆ	بۆ	PR	PR	PR	25	 _ 	 _ 	 _
---2726	ئەوەی	ئەوەی	PRN	PRN	PRN	26	 _ 	 _ 	 _
---3327	بگەنە	بگەنە	VBLEX	VBLEX	VBLEX|TV|P3|PL	27	 _ 	 _ 	 _
---4828	رێكەوتنێكی	رێكەوتنێكی	N	N	N|SG|IND|EZALOS	28	 _ 	 _ 	 _
---4629	سیاسی	سیاسی	ADJ	ADJ	ADJ|PST	29	 _ 	 _ 	 _
---3730	بۆ	بۆ	PR	PR	PR	30	 _ 	 _ 	 _
---2731	چارەسەر	چارەسەرکردنی	N	N	N|SG|ABS|EZALOS	31	 _ 	 _ 	 _
---4832	گرفتەكان	گرفتەكان	N	N	N|PL|DEF	32	 _ 	 _ 	 _
---3733	
#trans = ?
#sent_id = 2
